id,created_by,created_at,operation_type,target_model,detail
1,yaozeliang,2021-07-31 18:19:28.788054+00:00,success,Category,Create Category << Economics >>
2,yaozeliang,2021-07-31 18:19:30.489129+00:00,success,Category,Create Category << Economics >>
3,yaozeliang,2021-07-31 18:19:34.048029+00:00,danger,Category,Delete Category << Economics >>
4,yaozeliang,2021-07-31 18:19:43.235987+00:00,success,Category,Create Category << Finance >>
5,yaozeliang,2021-07-31 18:19:49.226872+00:00,success,Category,Create Category << Historical >>
6,yaozeliang,2021-07-31 18:19:56.921920+00:00,success,Category,Create Category << Fantasy >>
7,yaozeliang,2021-07-31 18:20:02.320264+00:00,success,Category,Create Category << Cooking >>
8,yaozeliang,2021-07-31 18:20:10.285308+00:00,success,Category,Create Category << Computers & Tech >>
9,yaozeliang,2021-07-31 18:20:17.994669+00:00,success,Category,Create Category << Fiction >>
10,yaozeliang,2021-07-31 18:20:31.209350+00:00,success,Category,Create Category << Watch >>
11,yaozeliang,2021-07-31 18:20:36.991122+00:00,success,Category,Create Category << Detective and Mystery >>
12,yaozeliang,2021-07-31 18:20:41.855730+00:00,success,Category,Create Category << Literary Fiction >>
13,yaozeliang,2021-07-31 18:20:55.001399+00:00,success,Category,Create Category << Comic >>
14,yaozeliang,2021-07-31 18:21:19.135675+00:00,success,Publisher,Create Publisher << Pub1 >>
15,yaozeliang,2021-07-31 18:21:27.038166+00:00,success,Publisher,Create Publisher << Pub2 >>
16,yaozeliang,2021-07-31 18:21:36.381148+00:00,success,Publisher,Create Publisher << Pub3 >>
17,yaozeliang,2021-07-31 18:21:53.545761+00:00,success,Publisher,Create Publisher << Pub4 >>
18,yaozeliang,2021-07-31 18:22:29.870355+00:00,success,Book,Create Book << T1 >>
19,yaozeliang,2021-07-31 18:22:50.498076+00:00,success,Book,Create Book << T2 >>
20,yaozeliang,2021-07-31 18:23:14.808896+00:00,success,Book,Create Book << T3 >>
21,yaozeliang,2021-07-31 18:23:39.540955+00:00,success,Book,Create Book << MarkdownTestA >>
22,yaozeliang,2021-07-31 18:24:22.428716+00:00,success,Member,Create Member << test_m1 >>
23,yaozeliang,2021-07-31 18:24:51.604551+00:00,success,Member,Create Member << test_m3 >>
24,admin_1,2021-07-31 18:27:11.110709+00:00,warning,Member,Update Member << test_m3 >>
25,admin_1,2021-07-31 18:27:37.761841+00:00,success,Member,Create Member << test_m2 >>
26,admin_1,2021-07-31 20:05:51.215108+00:00,success,Book,Create Book << Your Titleo >>
27,yaozeliang,2021-07-31 20:29:29.452380+00:00,success,Member,Create Member << test_m4 >>
28,admin_2,2021-08-01 14:17:16.566420+00:00,success,Member,Create Member << test_m5 >>
29,admin_2,2021-08-01 14:21:08.038085+00:00,success,Member,Create Member << test_m6 >>
30,admin_2,2021-08-01 14:43:43.075525+00:00,warning,Member,Update Member << test_m6 >>
31,admin_2,2021-08-01 14:45:22.652230+00:00,success,Category,Create Category << Zeliang YAO >>
32,admin_2,2021-08-01 14:46:28.613167+00:00,danger,Category,Delete Category << Zeliang YAO >>
33,yaozeliang,2021-08-01 15:14:28.399617+00:00,warning,Publisher,Update Publisher << Pub4 >>
34,yaozeliang,2021-08-01 19:27:52.556431+00:00,warning,Book,Update Book << T1 >>
35,yaozeliang,2021-08-01 20:57:48.873678+00:00,warning,Member,Update Member << test_m6 >>
36,yaozeliang,2021-08-01 21:00:50.184259+00:00,warning,Book,Update Book << T2 >>
37,admin_1,2021-08-01 21:12:01.573024+00:00,success,Category,Create Category << UUUUUUUUUUUUUU >>
38,admin_1,2021-08-01 21:12:03.986425+00:00,danger,Category,Delete Category << UUUUUUUUUUUUUU >>
39,admin_1,2021-08-01 21:12:36.001877+00:00,warning,Book,Update Book << T2 >>
40,yaozeliang,2021-08-01 21:21:02.282216+00:00,warning,Book,Update Book << T2 >>
41,yaozeliang,2021-08-01 21:21:24.322962+00:00,success,Category,Create Category << Zeliang YAO >>
42,yaozeliang,2021-08-01 21:21:32.004492+00:00,danger,Category,Delete Category << Zeliang YAO >>
43,yaozeliang,2021-08-02 09:50:39.246382+00:00,success,Member,Create Member << test_m5 >>
45,yaozeliang,2021-08-02 17:47:27.397334+00:00,warning,Member,Update Member << test_m5 >>
46,yaozeliang,2021-08-02 17:48:44.161611+00:00,success,BorrowRecord,New BorrowRecord '5' => <<4>>
47,yaozeliang,2021-08-02 17:50:43.225286+00:00,success,Book,Create Book << Harry Potter Children's Collection >>
48,yaozeliang,2021-08-02 18:01:13.651668+00:00,success,BorrowRecord,New BorrowRecord 'test_m7' => <<MarkdownTestA>>
49,yaozeliang,2021-08-02 18:09:29.155525+00:00,success,Book,Create Book << Test Title >>
50,yaozeliang,2021-08-02 18:11:53.485939+00:00,success,BorrowRecord, 'test_m5' borrowed <<Test Title>>
51,yaozeliang,2021-08-02 18:19:38.344158+00:00,danger,BorrowRecord,Delete BorrowRecord 'test_m5' borrowed <<Test Title>>
52,yaozeliang,2021-08-02 18:19:42.791298+00:00,danger,BorrowRecord,Delete BorrowRecord 'test_m7' borrowed <<MarkdownTestA>>
53,yaozeliang,2021-08-02 18:19:46.265092+00:00,danger,BorrowRecord,Delete BorrowRecord 'test_m7' borrowed <<MarkdownTestA>>
54,yaozeliang,2021-08-02 18:19:47.463524+00:00,danger,BorrowRecord,Delete BorrowRecord 'test_m4' borrowed <<Harry Potter Children's Collection>>
55,yaozeliang,2021-08-02 18:19:48.442617+00:00,danger,BorrowRecord,Delete BorrowRecord 'test_m5' borrowed <<Test Title>>
56,yaozeliang,2021-08-02 18:19:49.212430+00:00,danger,BorrowRecord,Delete BorrowRecord 'test_m4' borrowed <<Harry Potter Children's Collection>>
57,yaozeliang,2021-08-02 18:20:48.172398+00:00,danger,BorrowRecord,Delete BorrowRecord 'test_m3' => <<T1>>
58,yaozeliang,2021-08-02 18:22:04.632483+00:00,danger,BorrowRecord,Delete BorrowRecord test_m2
59,yaozeliang,2021-08-02 18:22:05.600985+00:00,danger,BorrowRecord,Delete BorrowRecord test_m4
60,yaozeliang,2021-08-02 18:22:50.912418+00:00,success,BorrowRecord, 'test_m4' borrowed <<Test Title>>
61,yaozeliang,2021-08-02 18:23:17.339410+00:00,success,BorrowRecord, 'test_m7' borrowed <<T2>>
62,yaozeliang,2021-08-03 13:54:39.799967+00:00,success,Member,Create Member << John Brown >>
63,yaozeliang,2021-08-03 13:55:14.533318+00:00,success,Member,Create Member << John Johnson >>
64,yaozeliang,2021-08-03 13:56:03.582954+00:00,success,Member,Create Member << Andrew Green >>
65,yaozeliang,2021-08-03 14:19:03.843759+00:00,danger,BorrowRecord,Delete BorrowRecord test_m4
